Họ và tên,Tuổi,Chiều cao (cm),Cân nặng (kg),Vị trí thi đấu,Quốc tịch,Chỉ số tổng thể,Tiềm năng phát triển,Giá trị chuyển nhượng (euro),Lương (euro)
N. Blandi,29,154.94,76.2,ST,Argentina,76,76,8000000,23000
L. KaliniÄ‡,28,200.66,98.9,GK,Croatia,76,78,6500000,16000
F. FernÃ¡ndez,30,190.5,83,CB,Argentina,76,76,6000000,42000
J. MartÃ­nez,32,185.42,79.8,ST,Colombia,76,76,7000000,20000
Emerson,24,175.26,77.1,"LB,LM",Italy,76,82,9000000,64000
RÃ´mulo,31,152.4,72.1,"CM,RM,RB",Italy,76,76,6500000,17000
C. Benteke,28,190.5,83,ST,Belgium,76,76,8000000,53000
M. Rashica,22,152.4,73,"RW,RM",Kosovo,76,83,11000000,25000
L. Baines,34,170.18,69.9,LB,England,76,76,3000000,70000
M. Noble,31,152.4,76.2,"CM,CDM",England,76,76,6500000,66000
F. BenkoviÄ‡,21,193.04,91.2,CB,Croatia,76,85,10500000,37000
C. Riveros,36,152.4,73.9,"CM,CDM",Paraguay,76,76,,
M. Niang,24,182.88,78,"LW,ST",Senegal,76,81,10500000,37000
D. Santon,28,187.96,77.1,"LB,RB",Italy,76,76,6500000,47000
I. Ordets,26,193.04,88,CB,Ukraine,76,81,8500000,1000
Francisco Geraldes,23,175.26,64.9,CAM,Portugal,76,82,10500000,12000
R. Snodgrass,31,182.88,82.1,"RM,CM,LM",Scotland,76,76,7500000,66000
Vitor Hugo,27,187.96,79.8,CB,Brazil,76,78,7500000,45000
M. PaÅ¡aliÄ‡,24,187.96,83,"CM,CDM",Croatia,76,83,10500000,71000
F. Borini,27,154.94,73.9,"LW,RM",Italy,76,76,8000000,76000
N. VukÄeviÄ‡,27,182.88,76.2,"CDM,CM",Montenegro,76,79,8000000,21000
A. Hutchinson,36,187.96,83,"CDM,CM",Canada,76,76,1800000,28000
M. Moralez,32,157.48,55.8,"CAM,CM",Argentina,76,76,7000000,9000
C. Austin,29,187.96,83.9,ST,England,76,76,8000000,50000
Kenedy,23,182.88,77.1,LM,Brazil,76,84,11500000,71000
Eltildo Correia,27,187.96,78,"CB,RB,LB",Brazil,76,76,6500000,30000
JoÃ£o Pedro,26,182.88,73,"CAM,CF,ST",Brazil,76,77,9000000,30000
A. Diamanti,35,154.94,74.8,"CAM,CF",Italy,76,76,3400000,4000
Guilherme,27,152.4,76.2,"CDM,CM",Brazil,76,78,7500000,1000
J. Morel,34,175.26,78,CB,Madagascar,76,76,2300000,48000
Llorente,34,193.04,92.1,ST,Spain,76,76,4800000,76000
G. GÃ¶nÃ¼l,34,175.26,74.8,RB,Turkey,76,76,3000000,40000
A. Paloschi,29,182.88,79.8,ST,Italy,76,76,8000000,17000
Juli Freitinho,31,193.04,91.2,CB,Brazil,76,76,5500000,13000
Markel Bergara,32,154.94,78,"CDM,CM",Spain,76,76,4400000,21000
L. Nguyen,32,172.72,68,"CAM,CM,ST",United States,76,76,7000000,9000
A. Knockaert,27,172.72,68.9,RM,France,76,76,8500000,44000
CÃ³rdoba,21,154.94,73,LW,Spain,76,83,11000000,19000
J. Veltman,27,182.88,74.8,"RB,CB",Netherlands,76,77,7500000,16000
N. Sansone,27,175.26,68,"ST,LM,RM",Italy,76,77,9000000,32000
A. Turan,32,152.4,76.2,"CM,RM,LM",Turkey,76,76,6500000,110000
H. SeferoviÄ‡,27,187.96,84.8,ST,Switzerland,76,77,9000000,13000
Rafael Cachoira,31,187.96,83.9,"CB,CDM",Brazil,76,76,5500000,20000
A. Haidara,21,175.26,67.1,"CM,RM",Mali,76,84,11500000,32000
F. Caputo,31,154.94,73.9,ST,Italy,76,76,7500000,17000
M. Locatelli,21,185.42,74.8,"CDM,CM",Italy,76,84,10000000,45000
J. Ayew,27,182.88,81.2,ST,Ghana,76,76,8500000,31000
T. Jedvaj,23,182.88,82.1,"CB,RB,LB",Croatia,76,83,9500000,40000
S. Hanni,28,152.4,72.1,"CAM,LW",Algeria,76,76,8000000,1000
AndrÃ©s FernÃ¡ndez,32,187.96,82.1,GK,Spain,76,76,4700000,22000
T. Monconduit,28,182.88,83,"CDM,CM",France,76,77,7500000,18000
N. Mukiele,21,185.42,73.9,"RB,CB",France,76,85,10000000,28000
D. Heintz,25,187.96,88.9,CB,Germany,76,78,8000000,19000
JÃºnior CaiÃ§ara,29,172.72,69.9,"RB,RM",Brazil,76,76,6000000,24000
A. Lennon,31,165.1,63,"RM,LM",England,76,76,7000000,48000
J. Willems,24,152.4,82.1,"LWB,LB,LM,CDM",Netherlands,76,79,8000000,25000
M. VeljkoviÄ‡,23,182.88,77.1,"CB,CDM",Serbia,76,83,9500000,21000
I. Belfodil,27,190.5,86.2,"ST,CF",Algeria,76,77,9000000,35000
Miguel Lopes,32,182.88,83,RB,Portugal,76,76,5000000,17000
D. Stephens,29,185.42,71.2,"CM,CDM",England,76,76,7500000,46000
Brais MÃ©ndez,22,187.96,76.2,"RM,RW,CM,CAM",Spain,76,85,12000000,17000
A. Smith,27,154.94,78,"LB,RB,RWB",England,76,77,7000000,51000
Recio,28,182.88,73.9,"CDM,CM",Spain,76,77,7500000,26000
Kiko FemenÃ­a,28,175.26,60.8,"RB,RWB,RM",Spain,76,76,6500000,44000
M. GaÄ‡inoviÄ‡,24,175.26,68.9,"CM,CAM",Serbia,76,82,10500000,28000
P. Skjelbred,31,175.26,73.9,"CDM,CM",Norway,76,76,5000000,24000
Fernandinho,25,175.26,64.9,"CAM,RM",Brazil,76,79,9500000,11000
S. Brown,33,175.26,79.8,CDM,Scotland,76,76,3100000,44000
M. GrujiÄ‡,22,190.5,82.1,"CDM,CM",Serbia,76,86,11000000,64000
A. Soumaoro,26,187.96,91.2,CB,France,76,80,8500000,28000
RaÃºl Navas,30,185.42,83.9,CB,Spain,76,76,5500000,24000
A. Szalai,31,193.04,89.8,ST,Hungary,76,76,7500000,35000
A. Diawara,21,182.88,73.9,"CM,CDM",Guinea,76,84,11500000,38000
L. Skorupski,27,187.96,83.9,GK,Poland,76,79,6500000,23000
R. Hamouma,31,152.4,76.2,RM,France,76,76,7000000,30000
K. StÃ¶ger,25,175.26,74.8,"CAM,CM,LM",Austria,76,79,10000000,25000
K. Linetty,24,175.26,73,CM,Poland,76,83,10500000,28000
S. Bell,27,193.04,88,CB,Germany,76,77,7500000,24000
A. N'Diaye,29,187.96,89.8,"CDM,CM",Senegal,76,77,7000000,28000
Y. YazÄ±cÄ±,22,182.88,73.9,"CAM,CM,RM",Turkey,76,83,11000000,22000
B. Oczipka,30,185.42,84.8,"LWB,LB,LM",Germany,76,76,6000000,28000
F. Valverde,20,182.88,78,"CM,LM,CAM",Uruguay,76,88,13000000,52000
M. BenÃ­tez,24,172.72,72.1,"CAM,LM,RM,RW",Argentina,76,80,10000000,18000
M. Vorm,35,182.88,83.9,GK,Netherlands,76,76,3100000,52000
N. Mendy,26,167.64,73,"CDM,CM",France,76,78,7500000,52000
J. VÃ¡zquez,30,165.1,64,"CDM,CM",Mexico,76,76,5500000,20000
Unai NÃºÃ±ez,22,185.42,81.2,CB,Spain,75,83,8500000,14000
N. Radoja,26,185.42,77.1,"CM,CDM",Serbia,75,78,8000000,20000
K. Gibbs,29,152.4,69.9,"LB,LWB",England,75,75,5500000,31000
A. Hamdallah,28,182.88,81.2,ST,Morocco,75,75,7000000,38000
Pablo Santos,26,187.96,82.1,CB,Brazil,75,78,7000000,13000
S. Fofana,23,182.88,77.1,"CM,CDM",Ivory Coast,75,82,9000000,22000
Felipe,34,187.96,74.8,CB,Brazil,75,75,2700000,13000
C. Villanueva,33,172.72,73,"CAM,CM",Chile,76,76,6000000,36000
MossorÃ³,35,170.18,67.1,CAM,Brazil,76,76,3900000,25000
Diego Rico,26,182.88,76.2,"LB,LWB",Spain,76,78,7500000,49000
Alberto Moreno,26,170.18,64.9,LB,Spain,76,78,7500000,71000
J. Clasie,27,170.18,66.2,"CM,CDM",Netherlands,76,77,8500000,44000
R. Funes Mori,28,182.88,81.2,ST,Argentina,76,77,9000000,46000
O. Alonso,33,154.94,69.9,"CDM,CM",Cuba,76,76,4400000,8000
A. Djiku,24,182.88,73.9,CB,France,76,82,9000000,18000
J. Hogg,30,175.26,73,"CDM,CM",England,76,76,6000000,42000
D. Calvert-Lewin,21,187.96,71.2,"ST,LM",England,75,82,9500000,60000
M. Zeegelaar,28,185.42,82.1,"LB,LWB",Netherlands,75,75,5500000,42000
G. Carrillo,27,190.5,87.1,ST,Argentina,75,76,8000000,46000
Jozabed,28,154.94,67.1,"CM,CDM,CAM",Spain,75,76,7500000,21000
A. Franco,22,182.88,77.1,CB,Argentina,75,85,9500000,13000
D. Brooks,21,182.88,62.1,"RM,CAM",Wales,75,86,11500000,39000
J. Bruma,27,190.5,88,CB,Netherlands,75,78,7000000,35000
L. Sepe,27,185.42,74.8,GK,Italy,75,78,5500000,36000
S. Vokes,29,187.96,89.8,ST,Wales,75,75,7000000,45000
Javi LÃ³pez,33,154.94,76.2,"RB,RWB",Spain,75,75,3700000,23000
J. Amavi,24,175.26,69.9,LB,France,75,80,7500000,30000
Idris,34,187.96,83,CDM,Senegal,75,75,2700000,8000
A. Potuk,27,152.4,67.1,"CAM,LM,RM",Turkey,75,76,7500000,53000
O. Norwood,27,175.26,68.9,CM,Northern Ireland,75,75,7000000,14000
R. Khedira,25,187.96,83.9,"CB,CDM",Germany,75,78,7000000,18000
D. MachÃ­s,26,170.18,73.9,"LW,RW,CAM",Venezuela,75,76,8000000,26000
R. Quaison,25,182.88,77.1,"CF,ST,LW",Sweden,75,78,8500000,24000
P. Dummett,27,182.88,82.1,LB,Wales,75,76,6500000,38000
L. Dimata,21,182.88,83,ST,Belgium,75,83,10000000,31000
Allan Bardinho,27,175.26,72.1,"CAM,CM",Brazil,75,75,7000000,22000
L. Butelle,35,187.96,83.9,GK,France,75,75,1600000,11000
S. CristÃ³foro,25,175.26,68,"CDM,CM",Uruguay,75,79,7500000,36000
Jason,24,152.4,64.9,RM,Spain,75,81,9000000,19000
M. Agu,25,182.88,77.1,"CDM,CM",Nigeria,75,78,7000000,11000
E. Badu,28,172.72,69.9,"CM,CDM",Ghana,75,75,7000000,25000
N. Redmond,25,172.72,68.9,"LM,RW",England,75,79,8500000,36000
Sandro,29,187.96,74.8,"CDM,CM",Brazil,75,75,5000000,16000
A. Mounier,31,175.26,64.9,"RW,LW,LM",France,75,75,6500000,1000
Matheus Pereira,22,175.26,73.9,"RM,LM",Brazil,75,81,9000000,11000
C. Jallet,35,152.4,69.9,"RWB,LB",France,75,75,1900000,26000
Diego Castro,36,175.26,71.2,LW,Spain,75,75,2900000,6000
S. Okazaki,32,172.72,78,"CAM,CF",Japan,75,75,5000000,54000
O. Kamara,29,182.88,81.2,"ST,LW",Norway,75,75,7000000,10000
Xeka,24,185.42,83,"CDM,CM",Portugal,75,81,8000000,23000
R. Karsdorp,24,182.88,79.8,RB,Netherlands,75,80,7500000,39000
Marafona,31,190.5,86.2,GK,Portugal,75,75,4000000,10000
D. ValdÃ©s,25,152.4,74.8,"CAM,CM",Chile,75,79,8500000,18000
M. Gonalons,29,187.96,76.2,"CDM,CM",France,75,75,5000000,47000
Burgui,25,182.88,74.8,"LM,CAM,RM",Spain,75,78,8500000,19000
F. GuarÃ­n,32,182.88,79.8,"CDM,CM",Colombia,75,75,3800000,14000
M. Jensen,23,172.72,68,CM,Denmark,75,81,9000000,19000
R. Thomas,24,175.26,64,CM,New Zealand,75,80,9000000,13000
B. Butko,28,182.88,72.1,RB,Ukraine,75,75,5500000,1000
L. Cigarini,32,175.26,72.1,"CM,CDM",Italy,75,75,5000000,29000
A. Musa,26,170.18,62.1,"LM,ST",Nigeria,75,76,8000000,33000
M. Morozyuk,31,175.26,71.2,"RB,RM,LB,LM",Ukraine,75,75,4800000,13000
G. Schennikov,27,154.94,74.8,"LWB,LM",Russia,75,76,6000000,1000
AndrÃ© Ramalho,27,182.88,78,"CB,CDM",Brazil,75,77,6500000,30000
T. Foket,24,152.4,73.9,RB,Belgium,75,80,7500000,14000
P. Foden,18,170.18,68.9,"CAM,CM",England,75,90,13500000,42000
Walace,23,187.96,74.8,"CDM,CM",Brazil,75,81,8000000,24000
I. Kahveci,23,175.26,67.1,"CAM,CM,LM",Turkey,75,80,9000000,21000
J. Briand,33,154.94,83.9,ST,France,75,75,5500000,39000
D. RolÃ¡n,25,152.4,69.9,"ST,LM,RM",Uruguay,75,78,8500000,11000
C. ThÃ©rÃ©au,35,187.96,78.9,"LW,CF",France,75,75,2900000,38000
B. Valdez,26,182.88,78.9,"CB,RB",Paraguay,75,77,7000000,45000
M. KonatÃ©,25,182.88,78,ST,Senegal,75,79,8500000,19000
H. Ayala,31,182.88,81.2,CB,Mexico,75,75,4500000,42000
J. Kluivert,19,170.18,66.2,"LW,RW",Netherlands,75,86,11000000,28000
P. Tau,24,167.64,64.9,"ST,RW,LW,CAM",South Africa,75,81,,
Eraso,28,154.94,71.2,"CAM,CDM,RM",Spain,75,75,6500000,28000
A. Boruc,39,193.04,87.1,GK,Poland,75,75,450000,25000
S. Larsson,25,152.4,69.9,LW,Sweden,75,77,8000000,14000
Paulinho,24,170.18,63,"CAM,CM,RW",Brazil,75,81,9000000,9000
J. Urretaviscaya,28,172.72,66.2,"RW,RM",Uruguay,75,75,6500000,46000
Y. AÃ¯t Bennasser,22,182.88,73.9,"CM,CDM",Morocco,75,83,10000000,39000
P. Bernardoni,21,190.5,78,GK,France,75,84,8000000,17000
J. Brenet,24,154.94,73.9,"LWB,LB,RB,RWB",Netherlands,75,77,6500000,24000
AleÃ±Ã¡,21,154.94,73,"CM,RW,CAM",Spain,75,87,12000000,77000
Thiago Maia,21,152.4,78.9,"CDM,CM",Brazil,75,82,8000000,19000
R. Skov,22,182.88,76.2,RM,Denmark,75,83,10000000,18000
M. Isla,30,175.26,74.8,"RB,CM",Chile,75,75,4800000,48000
W. McKennie,20,185.42,83.9,"CM,CDM,CAM,RM",United States,75,85,10500000,13000
J. Tavernier,27,182.88,74.8,RB,England,75,76,6500000,42000
S. Kalu,21,175.26,73.9,"RM,RW",Nigeria,75,86,11500000,27000
Marlon,23,182.88,79.8,CB,Brazil,75,82,8000000,34000
A. Duncan,25,152.4,78,CM,Ghana,75,80,8500000,42000
S. Sturaro,25,154.94,79.8,CM,Italy,75,78,8000000,16000
H. Arter,29,175.26,69.9,CM,Republic of Ireland,75,75,6500000,55000
V. Buyalskyi,26,170.18,60.8,"CM,CAM,CDM",Ukraine,75,78,8000000,1000
M. Sarr,20,182.88,73,"CB,LB",France,75,84,8500000,11000
I. FernÃ¡ndez,29,182.88,67.1,"CM,CAM",Argentina,75,75,6500000,23000
H. Hateboer,25,187.96,73.9,"RM,RB",Netherlands,75,77,8000000,22000
F. Niederlechner,28,187.96,86.2,ST,Germany,75,75,7000000,25000
P. Schwegler,32,152.4,73.9,"CDM,CM",Switzerland,75,75,4500000,28000
B. Pearson,24,175.26,71.2,CDM,England,75,81,8000000,12000
T. Abraham,21,190.5,79.8,ST,England,75,85,11000000,64000
Jefferson,30,175.26,72.1,LB,Brazil,75,75,5000000,12000
J. MÃ¦hle,21,182.88,79.8,RB,Denmark,75,84,9000000,10000
Unai LÃ³pez,23,170.18,69.9,"CM,LM,CDM",Spain,75,82,9000000,19000
I. Amadou,25,182.88,81.2,"CDM,CB",France,75,80,7500000,14000
C. GÃ¼nter,26,182.88,83,"LB,LWB",Germany,75,76,6500000,20000
O. Onazi,26,172.72,73,"CDM,CM",Nigeria,75,78,7000000,25000
J. Montero,29,172.72,69.9,"LM,LW",Ecuador,75,75,6500000,29000
O. Murillo,30,182.88,83,CB,Colombia,75,75,4900000,25000
Borja BastÃ³n,26,190.5,82.1,ST,Spain,75,78,8500000,29000
L. ZelarayÃ¡n,26,172.72,73,"CAM,CM",Argentina,75,77,8000000,46000
M. Kelly,28,190.5,77.1,"CB,RB",England,75,76,6000000,44000
A. Umar,24,175.26,72.1,"LM,RM",Nigeria,75,80,9000000,13000
ZaldÃºa,26,175.26,69.9,RB,Spain,75,78,7000000,23000
M. Diagne,27,190.5,86.2,ST,Senegal,75,76,8000000,51000
Jovane Cabral,20,175.26,68,"LW,RW",Cape Verde,75,85,11000000,11000
S. Dann,32,187.96,78,CB,England,75,75,4500000,42000
M. PavloviÄ‡,28,195.58,93.9,CB,Croatia,75,75,5500000,21000
A. Surman,32,152.4,73,"CM,CDM",England,75,75,5500000,53000
F. Kainz,26,175.26,71.2,"LM,CM,CAM",Austria,75,76,8000000,19000
Fran BeltrÃ¡n,20,170.18,64,"CDM,CM",Spain,75,83,8000000,8000
K. Vermeer,33,154.94,78,GK,Netherlands,75,75,3800000,10000
FontÃ s,29,185.42,86.2,CB,Spain,75,76,6000000,8000
L. QuiÃ±ones,27,152.4,64.9,"LM,RM,CM",Colombia,75,75,7000000,46000
M. Leckie,28,154.94,82.1,"RM,LM,RW",Australia,75,75,7000000,25000
TchÃª TchÃª,26,175.26,66.2,"CM,CDM",Brazil,75,78,8000000,1000
S. March,24,154.94,77.1,"LM,RM,RW",England,74,78,7500000,34000
B. Dabo,27,185.42,81.2,"CM,CDM",Burkina Faso,74,75,6500000,43000
F. MidtsjÃ¸,25,175.26,69.9,"CM,CDM",Norway,74,77,7000000,12000
Arribas,29,182.88,76.2,CB,Spain,74,74,4400000,18000
Duirval Diniz,35,187.96,82.1,"CB,RB",Brazil,74,74,1700000,13000
O. Watkins,23,154.94,69.9,"RW,LW,ST",England,74,81,8000000,35000
R. Tapia,23,182.88,78,"CDM,CM",Peru,74,79,6500000,10000
E. Roco,26,193.04,78.9,CB,Chile,74,77,6000000,33000
J. Svensson,26,170.18,69.9,"RB,CM",Norway,74,77,6000000,12000
L. OrbÃ¡n,30,152.4,78.9,"CB,LB",Argentina,74,74,4400000,18000
G. Donsah,22,175.26,69.9,CM,Ghana,75,81,9000000,25000
L. KrejÄÃ­,26,154.94,68,"LW,RW,RM",Czech Republic,75,75,7000000,30000
S. Sinclair,29,152.4,69.9,LM,England,75,75,6500000,48000
B. JokiÄ,32,175.26,77.1,"LWB,LB",Slovenia,75,75,,
M. Thuram,21,193.04,88,"LM,ST",France,75,83,10000000,16000
S. Romero,30,152.4,76.2,"ST,RM",Argentina,75,75,6500000,22000
C. Atsu,27,165.1,64.9,"LM,RM",Ghana,74,74,6000000,39000
C. TrÃ¤sch,31,154.94,74.8,"CDM,RB",Germany,74,74,4200000,21000
F. Pogba,28,187.96,87.1,"CB,LB",Guinea,74,74,4700000,7000
ReguilÃ³n,22,152.4,68,LB,Spain,74,85,8500000,63000
Caio MilaÃ§ar,35,170.18,67.1,CAM,Brazil,74,74,2800000,19000
M. Kempf,24,185.42,87.1,CB,Germany,74,80,6500000,22000
Daniel Ayala,28,190.5,83.9,CB,Spain,74,76,5500000,41000
P. Roberts,22,170.18,66.2,"RM,ST",England,74,82,8500000,60000
G. OrtÃ­z,26,182.88,79.8,CB,Argentina,74,79,6500000,11000
R. Gikiewicz,31,190.5,81.2,GK,Poland,74,74,3600000,20000
R. Rey,28,190.5,76.2,GK,Argentina,74,77,4700000,1000
Y. Ã–ztekin,31,152.4,69.9,"LM,RM",Turkey,74,74,4900000,22000
Daniel Candeias,31,152.4,78,"RW,RM",Portugal,74,74,5500000,46000
C. Beauvue,30,175.26,66.2,"ST,RW",France,74,74,5500000,22000
Marcelo,29,152.4,73.9,CB,Brazil,74,74,4600000,8000
S. von Bergen,35,182.88,78.9,CB,Switzerland,74,74,1300000,13000
J. Obi,27,175.26,71.2,CM,Nigeria,74,75,6500000,15000
Rafael LeÃ£o,19,187.96,81.2,"ST,LM",Portugal,74,86,10000000,15000
Pedro Henrique,28,154.94,76.2,"RM,LM",Brazil,74,74,5500000,1000
RaÃºl FernÃ¡ndez,30,195.58,92.1,GK,Spain,74,74,3600000,8000
Y. Nagatomo,32,170.18,68,"LB,RB",Japan,74,74,3700000,40000
P. HroÅ¡ovskÃ½,26,175.26,69.9,"CM,CDM",Slovakia,74,77,7000000,1000
R. BeriÄ‡,27,187.96,83,ST,Slovenia,74,75,6500000,29000
N. Spolli,36,193.04,89.8,CB,Argentina,74,74,1300000,10000
L. Moore,26,185.42,86.2,CB,England,74,77,6000000,26000
D. Falcinelli,27,185.42,74.8,ST,Italy,74,75,6500000,29000
J. Babin,32,154.94,88.9,CB,France,74,74,3800000,9000
J. Kopic,28,154.94,78.9,"LM,RM",Czech Republic,74,74,5500000,1000
M. Besler,32,182.88,77.1,CB,United States,74,74,3800000,7000
P. Martinez,30,182.88,77.1,CB,France,74,74,4400000,16000
Renan Bressan,30,182.88,74.8,CM,Belarus,74,74,5500000,10000
O. Åžahan,31,152.4,71.2,"LM,RM",Turkey,74,74,4900000,26000
M. Rensing,34,190.5,91.2,GK,Germany,74,74,2300000,19000
K. Phillips,23,152.4,72.1,"CDM,CB",England,74,80,6500000,29000
W. Janssen,32,185.42,74.8,CB,Netherlands,74,74,3800000,15000
E. Mena,30,172.72,73.9,LB,Chile,74,74,4300000,18000
A. Ciciretti,25,170.18,62.1,"RW,RM,CAM",Italy,74,75,7000000,44000
Davidson,28,152.4,62.1,LM,Brazil,74,74,6000000,10000
Diogo Leite,20,187.96,73,CB,Portugal,74,85,8000000,5000
A. Raggi,34,187.96,82.1,"CB,LB,RB",Italy,74,74,1700000,45000
S. Grandsir,22,167.64,64,"RM,LM",France,74,85,9500000,36000
D. Kreilach,29,185.42,78,"CM,CAM,ST",Croatia,74,74,5500000,8000
A. Ruiz,25,182.88,77.1,"CF,CAM,ST",Argentina,74,77,7500000,11000
IÃ±igo PÃ©rez,31,152.4,73.9,"CDM,CM",Spain,74,74,4200000,9000
L. SanÃ©,31,190.5,77.1,CB,Senegal,74,74,3800000,7000
Ivo,32,182.88,64.9,CM,Brazil,74,74,4800000,13000
Gil Dias,22,182.88,78,"RM,RW",Portugal,74,79,7500000,1000
A. Mena,31,167.64,67.1,"RW,CAM,RM",Ecuador,74,74,5500000,28000
J. CÃ³rdoba,25,187.96,84.8,ST,Colombia,74,78,7500000,20000
B. EcuÃ©lÃ© Manga,30,185.42,76.2,"CB,RB",Gabon,74,74,4400000,37000
N. Murru,24,154.94,73.9,LB,Italy,74,79,6500000,23000
G. Shinnie,27,175.26,72.1,"CDM,LB,CM",Scotland,74,75,5500000,8000
J. Stryger Larsen,28,182.88,82.1,"RB,CB",Denmark,74,74,4600000,21000
A. Erokhin,29,195.58,78.9,"CM,CDM,CAM",Russia,74,74,,
L. Robles,34,185.42,91.2,GK,United States,74,74,2300000,6000
A. Ulmer,33,175.26,68.9,LB,Austria,74,74,3100000,28000
F. Castillo,26,172.72,68,"LM,RM",Colombia,74,75,6500000,19000
I. Nestorovski,28,182.88,74.8,ST,FYR Macedonia,74,74,6000000,5000
M. Mount,20,152.4,64,"CAM,CM",England,74,86,10000000,34000
O. Kayode,25,175.26,64.9,ST,Nigeria,74,78,7500000,1000
Jadson Vidigal,27,175.26,69.9,ST,Brazil,74,74,6000000,27000
P. Verhaegh,35,152.4,73.9,RB,Netherlands,74,74,1600000,32000
L. Cavallini,26,182.88,88.9,ST,Canada,74,77,7000000,9000
J. Geis,25,154.94,81.2,"CDM,CB,CM",Germany,74,77,6000000,15000
R. van Wolfswinkel,30,185.42,69.9,"ST,RM",Netherlands,74,74,5500000,26000
K. Adams Nuhu,23,190.5,83,CB,Ghana,74,81,7000000,22000
KÃ©vin Rodrigues,25,170.18,69.9,LB,Portugal,74,79,6500000,18000
Ramalho,25,154.94,68,CB,Spain,74,78,6000000,22000
A. Semenov,29,190.5,86.2,CB,Russia,74,75,,
G. Charbonnier,30,187.96,79.8,ST,France,74,74,5500000,9000
Luisinho,33,170.18,62.1,LB,Portugal,74,74,2200000,19000
E. Pieters,30,185.42,87.1,"LB,LWB",Netherlands,74,74,4300000,35000
H. Wolf,19,175.26,68,CAM,Austria,74,85,9500000,15000
J. Aidoo,23,152.4,83,CB,Ghana,74,81,7000000,12000
NicolÃ¡s Formido,31,182.88,77.1,"CAM,LM,CM",Brazil,74,74,5500000,23000
D. Kourmpelis,25,154.94,73.9,"CDM,CB",Greece,74,79,6500000,1000
J. VukoviÄ‡,30,195.58,93,CB,Serbia,74,74,4200000,1000
J. Beausejour,34,152.4,83,LB,Chile,74,74,1600000,11000
M. Ostrzolek,28,152.4,72.1,"LB,LWB,CDM",Germany,74,74,4400000,27000
J. BÅ‚aszczykowski,33,175.26,67.1,"RM,RB,RW",Poland,74,74,4400000,8000
D. Bouanga,24,154.94,71.2,"LM,LW",Gabon,74,79,7500000,15000
R. Botta,29,175.26,71.2,"RM,CAM,LM,CM",Argentina,74,74,5500000,19000
D. LazoviÄ‡,28,154.94,66.2,"LM,RM",Serbia,74,74,6000000,15000
L. MarkoviÄ‡,25,175.26,64.9,"RM,RW",Serbia,74,76,7000000,39000
FÃ¡bio Espinho,33,175.26,67.1,"CAM,CM",Portugal,74,74,4400000,8000
Ruben Lima,29,152.4,68.9,LB,Portugal,74,74,4400000,6000
T. Usami,26,152.4,68.9,"RM,LM",Japan,74,75,6500000,21000
E. Room,30,187.96,81.2,GK,Curacao,74,75,4400000,11000
K. KonatÃ©,27,152.4,74.8,"RW,RM",Ivory Coast,74,74,,
RubÃ©n Alcaraz,27,154.94,76.2,"CM,CDM",Spain,74,75,6500000,18000
A. Nyom,30,187.96,79.8,"RB,RWB,LB",Cameroon,74,74,4100000,27000
Yuri Ribeiro,22,152.4,73.9,LB,Portugal,74,80,6500000,7000
M. Ekici,28,154.94,76.2,"CAM,CM,CDM",Turkey,74,74,5500000,51000
I. Sosa,32,154.94,73,"RM,RW",Argentina,74,74,4900000,43000
L. Melgarejo,28,152.4,74.8,"LM,RM,ST,LB",Paraguay,74,74,6000000,1000
William,27,182.88,79.8,ST,Brazil,74,75,6500000,11000
M. Vydra,26,175.26,71.2,"CAM,CF",Czech Republic,74,76,7000000,43000
BebÃ©,28,190.5,83,"LM,RM",Portugal,74,74,6000000,18000
AdriÃ¡n GonzÃ¡lez,30,182.88,78,"CDM,CM,CAM",Spain,74,74,4200000,9000
C. SÃ¶yÃ¼ncÃ¼,22,185.42,82.1,CB,Turkey,74,82,7000000,39000
K. Iheanacho,22,182.88,79.8,"ST,CF",Nigeria,74,82,8500000,42000
M. Tisserand,26,190.5,79.8,"CB,LB",DR Congo,74,79,6500000,31000
A. Lozano,25,185.42,78.9,ST,Honduras,74,79,7500000,26000
L. Waldschmidt,22,154.94,74.8,"CF,CAM",Germany,74,79,7500000,20000
Adrianiscito,27,193.04,88,GK,Brazil,74,74,4000000,18000
S. Grytebust,29,185.42,82.1,GK,Norway,74,75,4500000,10000
I. StriniÄ‡,31,185.42,78,LB,Croatia,74,74,4100000,56000
Pedro Rebocho,24,170.18,73.9,LB,Portugal,74,81,6500000,16000
J. Mbakogu,26,182.88,82.1,ST,Nigeria,74,76,7000000,5000
DÃ³ria,24,187.96,82.1,CB,Brazil,74,78,6000000,15000
M. Ã‡aÄŸÄ±ran,26,154.94,82.1,"CDM,CM",Turkey,74,78,6000000,12000
K. Kamara,34,187.96,74.8,ST,Sierra Leone,74,74,3500000,9000
S. Bahoken,26,185.42,88,ST,Cameroon,74,77,7000000,22000
B. Gibson,26,185.42,78,CB,England,74,79,6500000,37000
Nacho,30,175.26,76.2,LB,Spain,74,74,4300000,17000
A. Cornelius,25,193.04,91.2,ST,Denmark,74,78,7500000,24000
M. Le Marchand,29,185.42,78,"CB,LB",France,74,74,4600000,43000
P. Diop,21,154.94,68,"CM,CDM",Spain,74,85,9500000,34000
S. Ã–zbayraklÄ±,29,170.18,71.2,RB,Turkey,74,74,4400000,47000
